occupants,timeStart,timeEnd,duration
9,2022-07-05 16:05:54,2022-07-05 16:06:56,63
8,2022-07-05 16:06:57,2022-07-05 16:07:10,14
9,2022-07-05 16:07:11,2022-07-05 16:07:40,30
8,2022-07-05 16:07:41,2022-07-05 16:09:14,94
9,2022-07-05 16:09:15,2022-07-05 16:09:21,7
10,2022-07-05 16:09:22,2022-07-05 16:09:36,15
9,2022-07-05 16:09:37,2022-07-05 16:09:50,14
7,2022-07-05 16:09:51,2022-07-05 16:09:55,5
6,2022-07-05 16:09:56,2022-07-05 16:10:07,12
5,2022-07-05 16:10:08,2022-07-05 16:10:08,1
4,2022-07-05 16:10:09,2022-07-05 16:11:56,108
5,2022-07-05 16:11:57,2022-07-05 16:12:12,16
4,2022-07-05 16:12:13,2022-07-05 16:15:51,219
5,2022-07-05 16:15:52,2022-07-05 16:16:07,16
6,2022-07-05 16:16:08,2022-07-05 16:16:11,4
7,2022-07-05 16:16:12,2022-07-05 16:16:26,15
8,2022-07-05 16:16:27,2022-07-05 16:17:03,37
7,2022-07-05 16:17:04,2022-07-05 16:18:20,77
6,2022-07-05 16:18:21,2022-07-05 16:18:21,1
5,2022-07-05 16:18:22,2022-07-05 16:18:58,37
6,2022-07-05 16:18:59,2022-07-05 16:19:19,21
5,2022-07-05 16:19:20,2022-07-05 16:19:20,1
4,2022-07-05 16:19:21,2022-07-05 16:19:42,22
5,2022-07-05 16:19:43,2022-07-05 16:20:29,47
4,2022-07-05 16:20:30,2022-07-05 16:20:51,22
3,2022-07-05 16:20:52,2022-07-05 16:23:35,164
4,2022-07-05 16:23:36,2022-07-05 16:23:36,1
5,2022-07-05 16:23:37,2022-07-05 16:24:39,63
4,2022-07-05 16:24:40,2022-07-05 16:25:58,79
3,2022-07-05 16:25:59,2022-07-05 16:26:03,5
2,2022-07-05 16:26:04,2022-07-05 16:31:33,330
3,2022-07-05 16:31:34,2022-07-05 16:31:43,10
4,2022-07-05 16:31:44,2022-07-05 16:32:38,55
3,2022-07-05 16:32:39,2022-07-05 16:33:00,22
2,2022-07-05 16:33:01,2022-07-05 16:33:23,23
3,2022-07-05 16:33:24,2022-07-05 16:33:49,26
2,2022-07-05 16:33:50,2022-07-05 16:33:52,3
3,2022-07-05 16:33:53,2022-07-05 16:34:58,66
2,2022-07-05 16:34:59,2022-07-05 16:35:53,55
