occupants,timeStart,timeEnd,duration
2,2022-07-05 17:03:43,2022-07-05 17:07:48,245
3,2022-07-05 17:06:18,2022-07-05 17:08:53,155
4,2022-07-05 17:09:20,2022-07-05 17:12:22,182
5,2022-07-05 17:10:02,2022-07-05 17:10:44,42
4,2022-07-05 17:10:13,2022-07-05 17:10:24,11
5,2022-07-05 17:10:46,2022-07-05 17:11:19,33
4,2022-07-05 17:11:20,2022-07-05 17:11:54,34
5,2022-07-05 17:11:21,2022-07-05 17:11:22,1
6,2022-07-05 17:12:36,2022-07-05 17:13:51,75
5,2022-07-05 17:13:50,2022-07-05 17:15:04,74
6,2022-07-05 17:16:05,2022-07-05 17:18:20,135
7,2022-07-05 17:17:32,2022-07-05 17:18:59,87
8,2022-07-05 17:18:01,2022-07-05 17:18:30,29
7,2022-07-05 17:18:15,2022-07-05 17:18:29,14
6,2022-07-05 17:19:22,2022-07-05 17:20:29,67
5,2022-07-05 17:21:25,2022-07-05 17:23:28,123
4,2022-07-05 17:22:18,2022-07-05 17:23:11,53
3,2022-07-05 17:22:29,2022-07-05 17:22:40,11
4,2022-07-05 17:22:47,2022-07-05 17:23:05,18
3,2022-07-05 17:22:52,2022-07-05 17:22:57,5
2,2022-07-05 17:27:36,2022-07-05 17:32:20,284
1,2022-07-05 17:27:51,2022-07-05 17:28:06,15
2,2022-07-05 17:33:15,2022-07-05 17:38:39,324
3,2022-07-05 17:33:37,2022-07-05 17:33:59,22
4,2022-07-05 17:35:10,2022-07-05 17:36:43,93
3,2022-07-05 17:35:45,2022-07-05 17:36:20,35
4,2022-07-05 17:36:13,2022-07-05 17:36:41,28
3,2022-07-05 17:36:54,2022-07-05 17:37:35,41
4,2022-07-05 17:37:05,2022-07-05 17:37:16,11
3,2022-07-05 17:38:17,2022-07-05 17:39:29,72
4,2022-07-05 17:38:58,2022-07-05 17:39:39,41
3,2022-07-05 17:40:13,2022-07-05 17:41:28,75
4,2022-07-05 17:40:25,2022-07-05 17:40:37,12
5,2022-07-05 17:40:47,2022-07-05 17:41:09,22
6,2022-07-05 17:41:08,2022-07-05 17:41:29,21
5,2022-07-05 17:41:11,2022-07-05 17:41:14,3
4,2022-07-05 17:41:13,2022-07-05 17:41:15,2
3,2022-07-05 17:42:32,2022-07-05 17:43:51,79
4,2022-07-05 17:46:38,2022-07-05 17:50:44,246
3,2022-07-05 17:48:43,2022-07-05 17:50:48,125
4,2022-07-05 17:49:34,2022-07-05 17:50:25,51
3,2022-07-05 17:50:39,2022-07-05 17:51:44,65
2,2022-07-05 17:58:55,2022-07-05 18:07:11,496
3,2022-07-05 17:59:21,2022-07-05 17:59:47,26
4,2022-07-05 18:00:46,2022-07-05 18:02:11,85
3,2022-07-05 18:01:01,2022-07-05 18:01:16,15
4,2022-07-05 18:02:08,2022-07-05 18:03:15,67
3,2022-07-05 18:04:04,2022-07-05 18:06:00,116
4,2022-07-05 18:04:15,2022-07-05 18:04:26,11
5,2022-07-05 18:05:30,2022-07-05 18:06:45,75
4,2022-07-05 18:09:02,2022-07-05 18:12:34,212
3,2022-07-05 18:12:21,2022-07-05 18:15:40,199
2,2022-07-05 18:14:42,2022-07-05 18:17:03,141
1,2022-07-05 18:16:41,2022-07-05 18:18:40,119
2,2022-07-05 18:17:03,2022-07-05 18:17:25,22
1,2022-07-05 18:22:32,2022-07-05 18:28:01,329
2,2022-07-05 18:23:53,2022-07-05 18:25:14,81
1,2022-07-05 18:26:56,2022-07-05 18:29:59,183
2,2022-07-05 18:27:32,2022-07-05 18:28:08,36
1,2022-07-05 18:27:40,2022-07-05 18:27:48,8
2,2022-07-05 18:31:00,2022-07-05 18:34:20,200
3,2022-07-05 18:31:32,2022-07-05 18:32:04,32
4,2022-07-05 18:32:30,2022-07-05 18:33:28,58
3,2022-07-05 18:32:58,2022-07-05 18:33:26,28
4,2022-07-05 18:32:59,2022-07-05 18:33:00,1
5,2022-07-05 18:33:00,2022-07-05 18:33:01,1
6,2022-07-05 18:33:51,2022-07-05 18:34:42,51
5,2022-07-05 18:34:14,2022-07-05 18:34:37,23
6,2022-07-05 18:34:50,2022-07-05 18:35:26,36
5,2022-07-05 18:37:46,2022-07-05 18:40:42,176
6,2022-07-05 18:38:14,2022-07-05 18:38:42,28
7,2022-07-05 18:38:45,2022-07-05 18:39:16,31
6,2022-07-05 18:40:27,2022-07-05 18:42:09,102
5,2022-07-05 18:40:28,2022-07-05 18:40:29,1
4,2022-07-05 18:41:55,2022-07-05 18:43:22,87
5,2022-07-05 18:43:04,2022-07-05 18:44:13,69
6,2022-07-05 18:43:52,2022-07-05 18:44:40,48
7,2022-07-05 18:44:26,2022-07-05 18:45:00,34
6,2022-07-05 18:44:46,2022-07-05 18:45:06,20
5,2022-07-05 18:46:01,2022-07-05 18:47:16,75
6,2022-07-05 18:46:17,2022-07-05 18:46:33,16
7,2022-07-05 18:47:31,2022-07-05 18:48:45,74
8,2022-07-05 18:47:38,2022-07-05 18:47:45,7
7,2022-07-05 18:49:08,2022-07-05 18:50:38,90
6,2022-07-05 18:49:14,2022-07-05 18:49:20,6
7,2022-07-05 18:49:42,2022-07-05 18:50:10,28
8,2022-07-05 18:50:20,2022-07-05 18:50:58,38
7,2022-07-05 18:51:53,2022-07-05 18:53:26,93
6,2022-07-05 18:52:00,2022-07-05 18:52:07,7
7,2022-07-05 18:52:08,2022-07-05 18:52:16,8
6,2022-07-05 18:54:22,2022-07-05 18:56:36,134
7,2022-07-05 18:55:23,2022-07-05 18:56:24,61
6,2022-07-05 18:57:01,2022-07-05 18:58:39,98
7,2022-07-05 18:57:17,2022-07-05 18:57:33,16
8,2022-07-05 18:58:18,2022-07-05 18:59:19,61
7,2022-07-05 18:58:19,2022-07-05 18:58:20,1
6,2022-07-05 18:59:24,2022-07-05 19:00:29,65
5,2022-07-05 18:59:48,2022-07-05 19:00:12,24
4,2022-07-05 19:01:02,2022-07-05 19:02:16,74
5,2022-07-05 19:04:07,2022-07-05 19:07:12,185
4,2022-07-05 19:04:29,2022-07-05 19:04:51,22
5,2022-07-05 19:05:00,2022-07-05 19:05:31,31
4,2022-07-05 19:06:28,2022-07-05 19:07:56,88
3,2022-07-05 19:08:10,2022-07-05 19:09:52,102
4,2022-07-05 19:08:36,2022-07-05 19:09:02,26
5,2022-07-05 19:08:45,2022-07-05 19:08:54,9
6,2022-07-05 19:09:33,2022-07-05 19:10:21,48
5,2022-07-05 19:10:42,2022-07-05 19:11:51,69
4,2022-07-05 19:13:28,2022-07-05 19:16:14,166
3,2022-07-05 19:14:42,2022-07-05 19:15:56,74
2,2022-07-05 19:17:29,2022-07-05 19:20:16,167
3,2022-07-05 19:17:58,2022-07-05 19:18:27,29
2,2022-07-05 19:21:56,2022-07-05 19:25:54,238
3,2022-07-05 19:22:33,2022-07-05 19:23:10,37
